event,type,num_agents,edge_cost,edge_cost-std,message_count,message_count-std
add_agent:0,add_agent,1,0.0,0.0,0.0,0.0
add_agent:1,add_agent,2,-344.70000714063644,440.5761768603771,8.0,4.0
add_agent:2,add_agent,3,-408.7479660489692,1482.7311182641704,24.0,8.0
add_agent:3,add_agent,4,-1773.5559397075558,2281.1414116075293,50.0,12.649110640673518
add_agent:4,add_agent,5,-2022.8138253809852,2350.294510007532,88.0,19.390719429665317
add_agent:5,add_agent,6,-3313.5554784936844,2339.6257109219055,136.0,26.5329983228432
add_agent:6,add_agent,7,-3480.5845396795216,4308.590114357168,194.0,33.823069050575526
add_agent:7,add_agent,8,-6250.860812471636,4726.348839736701,262.0,41.182520563948
add_agent:8,add_agent,9,-6056.734240298604,5086.305506979458,340.0,48.579831205964474
add_agent:9,add_agent,10,-6716.083944874532,5331.620265658272,428.0,56.0
add_agent:10,add_agent,11,-7314.38285700985,5709.311551690935,526.0,63.43500610861482
add_agent:11,add_agent,12,-8282.284151747055,4754.265313273412,634.0,70.8801805866774
add_agent:12,add_agent,13,-9720.921109370474,3746.0565698248606,752.0,78.33262411026456
add_agent:13,add_agent,14,-10455.979940229194,4165.125867053713,880.0,85.79044235810886
add_agent:14,add_agent,15,-11222.64462592584,3959.3237358166202,1018.0,93.25234581499814
add_agent:15,add_agent,16,-12135.651964107858,4098.50923640978,1166.0,100.71742649611338
add_agent:16,add_agent,17,-14638.489465061744,3833.6058121091082,1328.0,106.84568311354465
add_agent:17,add_agent,18,-15726.348871377244,3169.845304122062,1502.0,114.08768557561329
add_agent:18,add_agent,19,-17313.12035333008,3780.456201929265,1686.0,121.75385004179539
add_agent:19,add_agent,20,-19859.533160316816,1176.3743432269896,1880.0,129.76902558006668
add_agent:20,add_agent,21,-20586.07238019234,1893.8206662330929,2088.0,141.33647795243803
add_agent:21,add_agent,22,-24081.650205223545,1663.6726018081383,2306.0,153.96103403134185
add_agent:22,add_agent,23,-25111.565168994897,3845.245166587927,2538.0,171.86040847152668
add_agent:23,add_agent,24,-25385.973845527387,3202.742727085075,2782.0,192.60321908005588
add_agent:24,add_agent,25,-25771.429321078023,2832.1567603717244,3036.0,213.6913662270893
add_agent:25,add_agent,26,-27166.40269116254,2366.7012891732534,3300.0,235.03191272676142
add_agent:26,add_agent,27,-28306.395054119574,1300.2346096854578,3574.0,256.5618833731932
add_agent:27,add_agent,28,-28290.776859968755,1222.9229864283839,3858.0,278.23730878514476
add_agent:28,add_agent,29,-27228.595832340397,2558.4199378752833,4154.0,299.43947635540644
add_agent:29,add_agent,30,-28064.297613853694,2031.7466092954248,4460.0,320.6867630570367
add_agent:30,add_agent,31,-29738.44309133683,3321.2282983456053,4776.0,341.970758983864
add_agent:31,add_agent,32,-29804.58479936471,2954.9656489661797,5102.0,363.2850120772945
add_agent:32,add_agent,33,-30697.1001832816,3483.563935585917,5440.0,382.1518022985107
add_agent:33,add_agent,34,-33636.92467226311,6071.721472261432,5790.0,398.6477141537375
add_agent:34,add_agent,35,-33772.61762719829,5381.108701692186,6152.0,412.9116128180461
add_agent:35,add_agent,36,-34564.310289143374,6451.59349514,6526.0,430.3301058489866
add_agent:36,add_agent,37,-34040.85035989754,6674.185375317516,6910.0,448.0178567869812
