event,type,num_agents,edge_cost,edge_cost-std,message_count,message_count-std
add_agent:0,add_agent,1,0.0,0.0,0.0,0.0
add_agent:1,add_agent,2,-1402.0385396307963,944.0621564651736,10.0,0.0
add_agent:2,add_agent,3,-3243.962481146229,2110.533847060009,30.0,0.0
add_agent:3,add_agent,4,-6295.204841175856,1229.1346858227273,60.0,0.0
add_agent:4,add_agent,5,-8767.5346182663,750.3957461842314,100.0,0.0
add_agent:5,add_agent,6,-10270.44931540219,1447.5739546675952,152.0,4.0
add_agent:6,add_agent,7,-10166.539334181252,4673.094121812557,216.0,8.0
add_agent:7,add_agent,8,-10888.65623511135,4415.430153105474,290.0,12.649110640673518
add_agent:8,add_agent,9,-13911.841621416,3263.1020454279947,374.0,17.435595774162696
add_agent:9,add_agent,10,-14385.51543447419,3755.0540576427234,468.0,22.271057451320086
add_agent:10,add_agent,11,-13160.905814857713,3055.0791851523304,574.0,25.768197453450252
add_agent:11,add_agent,12,-13225.855574206837,3343.2175172922725,690.0,29.664793948382652
add_agent:12,add_agent,13,-16026.80743371294,2674.1180485538353,816.0,33.823069050575526
add_agent:13,add_agent,14,-16083.585201036229,2386.333351029334,952.0,38.157568056677825
add_agent:14,add_agent,15,-14903.12084147432,1940.4379848009007,1102.0,43.08131845707603
add_agent:15,add_agent,16,-15321.16298644165,3340.6286049176297,1264.0,46.73328578219169
add_agent:16,add_agent,17,-16827.4961789419,4514.360690878358,1438.0,48.33218389437829
add_agent:17,add_agent,18,-18318.0627218645,3486.350511285332,1622.0,50.35871324805669
add_agent:18,add_agent,19,-19511.402769544664,3970.793540972389,1818.0,52.306787322488084
add_agent:19,add_agent,20,-20270.354102978,3748.8525308404596,2024.0,54.62600113499065
add_agent:20,add_agent,21,-21087.633233828597,6845.658014149962,2244.0,57.82732917920384
add_agent:21,add_agent,22,-21374.564566944053,6444.708639645519,2474.0,61.514225996918796
add_agent:22,add_agent,23,-22168.671413929704,6559.498712706013,2716.0,66.51315659326356
add_agent:23,add_agent,24,-21777.883984379376,6542.414725974815,2968.0,72.49827584156743
add_agent:24,add_agent,25,-21269.464888304843,7442.173144036111,3234.0,80.89499366462674
add_agent:25,add_agent,26,-21137.21274418891,8333.147910373202,3512.0,89.53211714239757
add_agent:26,add_agent,27,-22948.242687164504,9101.403705895305,3802.0,99.07572861200669
add_agent:27,add_agent,28,-23823.84654076947,9073.6540223787,4102.0,109.61751684835777
add_agent:28,add_agent,29,-24960.625987821873,7382.317293404242,4412.0,120.8966500776593
add_agent:29,add_agent,30,-25218.85845260267,8262.798759671363,4732.0,132.72528018429645
add_agent:30,add_agent,31,-26463.614046675182,8430.613230243782,5066.0,148.0
