event,type,num_agents,node_cost,node_cost-std,edge_cost,edge_cost-std,message_count,message_count-std,num_changes,num_changes-std,announce_msg_count,announce_msg_count-std,announce_res_msg_count,announce_res_msg_count-std,add_me_count,add_me_count-std,child_added_count,child_added_count-std,parent_assigned_count,parent_assigned_count-std,already_active_count,already_active_count-std,ping_msg_count,ping_msg_count-std,ping_msg_resp_count,ping_msg_resp_count-std,constraint_changed_count,constraint_changed_count-std
add_agent:0,add_agent,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
add_agent:1,add_agent,2,-21909.455253616023,10963.998079274203,-10468.65292080915,9482.918201695316,8.0,0.0,2.0,0.0,2.0,0.8944271909999159,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.4000000000000001,0.2,0.4000000000000001,0.0,0.0
add_agent:8,add_agent,3,-29809.433705220516,16334.543897306763,-18121.816368298314,12281.156200560512,19.1,4.109744517606903,4.5,1.02469507659596,6.9,2.8792360097775944,2.2,0.6,1.9,0.3,1.9,0.3,1.9,0.3,0.0,0.0,3.5,0.9219544457292888,3.5,0.9219544457292888,0.0,0.0
add_agent:29,add_agent,4,-37963.943133187386,15456.495454442691,-22808.378532119503,12608.965878742518,36.0,7.707139547199077,8.2,1.5999999999999999,14.2,3.4583232931581165,4.6,2.6907248094147422,3.1,1.044030650891055,2.8,0.39999999999999997,2.8,0.39999999999999997,0.3,0.9000000000000001,8.1,1.3,8.1,1.3,0.0,0.0
add_agent:2,add_agent,5,-44913.61849569369,19968.43148553091,-25326.80389462594,19341.64797958607,41.9,9.213576938409968,9.1,2.211334438749598,23.9,9.954396013822235,8.2,6.64529909033446,4.2,1.7776388834631178,3.1,0.5385164807134505,3.1,0.5385164807134505,1.1,1.7578395831246947,14.0,3.0,14.0,3.0,0.0,0.0
add_agent:4,add_agent,6,-52615.18579248545,19781.708651943158,-29758.50250489483,21405.63007213407,54.8,7.909487973314076,10.8,1.9390719429665315,52.9,25.28813951242756,17.8,12.749901960407383,7.6,2.3323807579381204,3.8,0.6,3.8,0.6,3.8,2.4,24.4,3.555277766926235,24.4,3.555277766926235,0.0,0.0
add_agent:10,add_agent,7,-59038.16617598856,20318.35576628715,-33512.23473907302,20809.179363273084,64.8,11.522152576667262,11.8,2.4,75.8,25.906755875639853,26.3,13.244244032786469,10.6,3.3226495451672298,4.3,0.7810249675906654,4.3,0.7810249675906654,6.2,3.280243893371345,34.3,6.067124524847006,34.3,6.067124524847006,0.0,0.0
add_agent:39,add_agent,8,-67204.3313329597,22537.612765257927,-37799.53105195901,18097.796634800823,73.4,13.252924205623453,13.0,3.1304951684997055,100.8,31.333049644105827,34.7,14.920120642943877,12.8,3.54400902933387,4.7,1.004987562112089,4.7,1.004987562112089,8.1,3.7536648758246915,45.3,7.963039620647383,45.3,7.963039620647383,0.0,0.0
add_agent:3,add_agent,9,-74952.61254140697,24962.40166103889,-39273.063346809344,19005.091593104913,91.8,14.112405889854502,15.0,3.1304951684997055,159.6,67.21487930510625,67.0,32.71391141395355,18.2,5.325410782277739,5.3,0.9,5.3,0.9,12.9,5.682429058070149,57.2,8.047359815492284,57.2,8.047359815492284,0.0,0.0
add_agent:6,add_agent,10,-86535.31827371442,26107.53382953323,-44971.07906553387,18831.267282506844,112.9,15.64896162689397,17.1,4.253234063627348,228.6,81.56249137930989,102.6,37.88984032692669,24.6,4.8,6.0,1.1832159566199232,6.0,1.1832159566199232,18.6,5.238320341483518,76.5,13.661991070118587,76.5,13.661991070118587,0.0,0.0
add_agent:54,add_agent,11,-93327.07126546769,29425.336780341866,-50646.05963096353,19078.296872478964,131.0,22.333830840229805,18.9,4.678675026115834,293.8,128.86644248988952,137.5,68.85963984802709,29.5,8.488227141164401,6.5,1.118033988749895,6.5,1.118033988749895,23.0,8.78635305459552,90.0,13.274034804836093,90.0,13.274034804836093,0.0,0.0
add_agent:42,add_agent,12,-107524.70871269556,34499.76612732069,-56367.48327338711,22076.13044789973,156.3,24.71861646613742,22.0,5.458937625582473,380.6,137.84933804701424,181.0,79.56506771190483,36.0,8.049844718999243,7.4,1.2806248474865698,7.4,1.2806248474865698,28.6,8.558037158133867,108.0,16.112107248898266,108.0,16.112107248898266,0.0,0.0
add_agent:5,add_agent,13,-110700.17585847332,36597.93802648152,-58638.73385989973,25465.261752252933,174.4,33.24515002222129,23.3,7.6164296097318465,457.0,185.99838708978098,222.2,114.01210462051826,42.0,11.15347479487895,7.7,1.4177446878757827,7.7,1.4177446878757827,34.3,11.584903970253702,127.4,16.782133356638543,127.4,16.782133356638543,0.0,0.0
add_agent:16,add_agent,14,-125835.76088716721,37960.938221629716,-67089.52892698525,27035.14086100882,194.4,20.972362766269324,24.9,7.340980860893182,575.0,177.40800432900429,280.9,97.80639038426887,49.3,9.198369420717999,8.4,1.4966629547095764,8.4,1.4966629547095764,40.9,10.299999999999999,147.9,22.980208876335304,147.9,22.980208876335304,0.0,0.0
add_agent:62,add_agent,15,-134766.9530955046,38598.91268517404,-73725.82285890447,23570.897614491958,224.0,15.798734126505199,27.5,6.800735254367722,708.0,191.40846376270824,356.9,138.74469359222357,58.3,13.9,9.4,1.3564659966250536,9.4,1.3564659966250536,48.9,14.916098685648334,175.6,24.64629789643873,175.6,24.64629789643873,0.0,0.0
add_agent:9,add_agent,16,-144226.9532247844,35749.06804494775,-78527.06937636189,23036.810665626937,238.9,28.09074580711591,28.8,6.910861017268399,804.3,206.33664240749872,407.1,133.2902472051125,63.1,12.469562943423478,9.8,1.5999999999999999,9.8,1.5999999999999999,53.3,13.505924625881784,195.5,32.311762564118965,195.5,32.311762564118965,0.0,0.0
add_agent:23,add_agent,17,-153373.08347425476,31317.216378683588,-80529.80200800016,23440.68379048916,263.5,25.140604606890424,31.0,7.113367697511496,939.1,245.79237172866047,482.7,154.26733289974257,71.1,14.85563866011825,10.5,1.6881943016134133,10.5,1.6881943016134133,60.6,15.894653189044421,223.8,34.362188521687614,223.8,34.362188521687614,0.0,0.0
