event,type,num_agents,node_cost,node_cost-std,edge_cost,edge_cost-std,message_count,message_count-std,num_changes,num_changes-std,announce_msg_count,announce_msg_count-std,announce_res_msg_count,announce_res_msg_count-std,add_me_count,add_me_count-std,child_added_count,child_added_count-std,parent_assigned_count,parent_assigned_count-std,already_active_count,already_active_count-std,ping_msg_count,ping_msg_count-std,ping_msg_resp_count,ping_msg_resp_count-std,constraint_changed_count,constraint_changed_count-std
add_agent:0,add_agent,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
add_agent:1,add_agent,2,-19409.72417857736,11768.863677335792,-6130.019051869558,6720.086208657829,3.6,1.2,1.8,0.6,1.6,0.8,0.9,0.3,0.9,0.3,0.9,0.3,0.9,0.3,0.0,0.0,0.1,0.30000000000000004,0.1,0.30000000000000004,0.0,0.0
add_agent:8,add_agent,3,-26085.31311724584,9766.034958690305,-7873.0375211061255,6273.729450104006,6.2,1.8867962264113207,2.6,1.0198039027185568,3.9,1.9209372712298547,1.4,0.66332495807108,1.3,0.45825756949558405,1.3,0.45825756949558405,1.3,0.45825756949558405,0.0,0.0,1.9,0.8306623862918076,1.9,0.8306623862918076,0.0,0.0
add_agent:29,add_agent,4,-29231.559095255267,13554.756868962211,-9117.00023713461,7328.073608659016,10.7,2.6476404589747453,3.2,1.8867962264113207,9.4,3.6386810797320503,3.2,1.5362291495737217,2.4,0.6633249580710802,2.1,0.5385164807134505,2.1,0.5385164807134505,0.3,0.6403124237432848,5.3,2.147091055358389,5.3,2.147091055358389,0.0,0.0
add_agent:2,add_agent,5,-29231.559095255267,13554.756868962211,-8525.040125274792,7142.416356338905,15.3,2.4919871588754225,3.2,1.8867962264113207,19.0,4.0,7.5,5.044799302251775,4.1,1.5779733838059504,2.5,0.5,2.5,0.5,1.6,1.9595917942265426,11.9,2.5475478405713994,11.9,2.5475478405713994,0.0,0.0
add_agent:4,add_agent,6,-42211.806172110184,18973.182566025804,-13622.781597031553,9963.953858193505,24.8,5.491812087098393,4.4,2.0099751242241783,41.0,11.983321743156194,17.5,11.49130105775669,7.7,3.195309061734091,3.4,0.8,3.4,0.8,4.3,3.5227829907617076,20.9,3.2078029864690882,20.9,3.2078029864690882,0.0,0.0
add_agent:10,add_agent,7,-49317.54043810914,22108.373697075767,-10950.429472664524,11860.10072590891,33.5,7.379024325749306,5.3,2.368543856465402,68.1,19.41365498817778,29.2,15.619218930535547,11.3,4.473253849269009,3.9,0.9433981132056604,3.9,0.9433981132056604,7.3,5.060632371551998,27.9,5.166236541235795,27.9,5.166236541235795,0.0,0.0
add_agent:39,add_agent,8,-51777.74734419656,20843.93095263653,-10596.577684769727,12499.128848961827,43.4,8.200000000000001,5.7,2.4515301344262523,103.8,26.89535275842278,45.6,20.611647192788837,15.5,5.352569476429054,4.3,1.1,4.3,1.1,11.2,6.321392251711644,38.6,6.755738301621815,38.6,6.755738301621815,0.0,0.0
add_agent:3,add_agent,9,-59031.581486484596,16614.409496102642,-7721.799457720044,11226.371945974257,57.4,13.857849761056007,7.4,3.3823069050575527,152.3,41.641445700167516,70.1,30.62172431461037,20.4,7.539230729988305,5.5,1.3601470508735443,5.5,1.3601470508735443,14.9,8.360023923410745,52.9,10.718675291284834,52.9,10.718675291284834,0.0,0.0
add_agent:6,add_agent,10,-61088.484227212844,16760.85532399241,-8360.018159706178,9606.522484498564,65.4,15.963708842245902,7.9,3.6728735344413916,186.6,53.8631599518632,83.8,33.75144441353584,23.5,8.902246907382429,5.9,1.445683229480096,5.9,1.445683229480096,17.6,9.76933979345585,67.5,12.690547663517126,67.5,12.690547663517126,0.0,0.0
