event,type,num_agents,node_cost,node_cost-std,edge_cost,edge_cost-std,message_count,message_count-std,num_changes,num_changes-std,announce_msg_count,announce_msg_count-std,announce_res_msg_count,announce_res_msg_count-std,add_me_count,add_me_count-std,child_added_count,child_added_count-std,parent_assigned_count,parent_assigned_count-std,already_active_count,already_active_count-std,ping_msg_count,ping_msg_count-std,ping_msg_resp_count,ping_msg_resp_count-std,constraint_changed_count,constraint_changed_count-std
add_agent:0,add_agent,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
add_agent:2,add_agent,2,-19604.556665621592,17117.8682442398,-7755.156718253574,8006.283936269808,4.0,0.0,2.0,0.0,1.76,0.5122499389946279,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.08,0.2712931993250107,0.08,0.2712931993250107,0.0,0.0
add_agent:27,add_agent,3,-23755.978110891403,19225.721612602083,-9736.368612053337,8649.372098526288,6.52,2.5158696309626216,2.68,1.1214276615100949,3.76,2.5499803920814763,1.8,1.385640646055102,1.4,0.692820323027551,1.28,0.44899888641287294,1.28,0.44899888641287294,0.12,0.32496153618543844,2.32,0.8352245207128439,2.32,0.8352245207128439,0.0,0.0
add_agent:1,add_agent,4,-28068.9431636157,23150.517780571234,-12131.655357987478,12659.010417222513,11.44,3.188479261340741,3.48,1.8356470248934023,11.6,6.43117407632541,5.48,3.1256359352938077,3.04,1.148216007552586,1.8,0.5656854249492381,1.8,0.5656854249492381,1.24,1.209297316626478,5.4,1.4966629547095767,5.36,1.466424222385869,0.0,0.0
add_agent:26,add_agent,5,-37200.816720668816,30287.24279836389,-17172.34197681859,11849.566284217288,18.44,4.833880428806655,4.64,2.6058395959843725,22.88,8.30093970584054,10.84,5.474888126710901,5.24,1.8821264569629743,2.68,0.7332121111929345,2.68,0.7332121111929345,2.56,1.9815145722401335,12.4,3.6769552621700474,12.4,3.6769552621700474,0.0,0.0
add_agent:38,add_agent,6,-46045.156112675286,39022.78493763108,-17769.910729467876,14726.961448114229,26.84,6.613198923365302,6.28,3.914281543272021,38.96,11.837161821990946,17.28,7.841020341766753,7.52,2.4019991673603887,3.88,0.7110555533852472,3.88,0.7110555533852472,3.64,2.2782449385437022,20.16,4.5491098030274015,20.16,4.5491098030274015,0.0,0.0
add_agent:3,add_agent,7,-51698.03345080416,39741.70059857416,-16366.310258741447,16117.058137810716,34.36,7.298657410784534,7.36,4.260328625822192,56.56,14.037321681859398,24.6,9.20869154657707,9.44,2.4507957891264627,4.6,0.7483314773547881,4.6,0.7483314773547881,4.84,2.427838544878963,30.96,4.943521012395922,30.96,4.943521012395922,0.0,0.0
add_agent:10,add_agent,8,-57395.10931659475,38900.724501497345,-19183.10300603413,17940.6086569188,43.48,7.294491072035115,8.68,4.314811699251776,81.16,19.943279569820003,36.4,12.544321424453376,12.52,3.0082553083141064,5.24,0.8138795979750323,5.24,0.8138795979750323,7.28,2.9734828064073278,44.08,5.168520097668191,44.08,5.168520097668191,0.0,0.0
add_agent:7,add_agent,9,-60608.29838252522,44540.287452953125,-21055.38744146936,19521.840814401752,52.24,6.871855644583929,9.36,4.954836021504647,118.4,22.70858868357961,52.28,13.86944843892503,15.96,3.1429922048901107,5.72,0.9173875952943772,5.72,0.9173875952943772,10.24,3.5919910913029836,56.6,5.4845236803208355,56.6,5.4845236803208355,0.0,0.0
add_agent:8,add_agent,10,-69158.07125953483,45794.51231875466,-25926.06977719504,19500.001313702756,66.92,11.534019247426286,11.56,6.92866509509588,171.04,39.84819192886924,80.08,24.72556571648058,21.16,4.36971394944795,6.72,0.8726969691708572,6.72,0.8726969691708572,14.44,4.7335399015958455,77.96,9.535114052805032,77.96,9.535114052805032,0.0,0.0
