event,type,num_agents,node_cost,node_cost-std,edge_cost,edge_cost-std,message_count,message_count-std,num_changes,num_changes-std,announce_msg_count,announce_msg_count-std,announce_res_msg_count,announce_res_msg_count-std,add_me_count,add_me_count-std,child_added_count,child_added_count-std,parent_assigned_count,parent_assigned_count-std,already_active_count,already_active_count-std,ping_msg_count,ping_msg_count-std,ping_msg_resp_count,ping_msg_resp_count-std,constraint_changed_count,constraint_changed_count-std
add_agent:0,add_agent,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
add_agent:1,add_agent,2,-19069.007466290906,8613.687595598394,-7628.205133484024,6318.28206608852,4.0,0.0,2.0,0.0,1.8,0.7483314773547883,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
add_agent:8,add_agent,3,-17955.10133849945,8207.121655418188,-6585.313017306139,8457.576583280383,5.9,1.8138357147217055,2.5,1.02469507659596,3.9,1.57797338380595,1.2,0.4,1.2,0.4,1.2,0.4,1.2,0.4,0.0,0.0,2.2,0.6,2.2,0.6,0.0,0.0
add_agent:29,add_agent,4,-23718.81015913508,8327.45108628541,-8627.849540904432,6813.08494791993,11.0,3.1304951684997055,3.3,2.0999999999999996,10.3,3.348133808556641,2.9,1.1357816691600549,2.3,0.45825756949558405,2.3,0.45825756949558405,2.3,0.45825756949558405,0.0,0.0,6.7,2.4103941586387903,6.7,2.4103941586387903,0.0,0.0
add_agent:2,add_agent,5,-28655.700608768675,12405.036689768885,-10965.890861481012,8798.48762467557,16.2,2.5612496949731396,3.8,2.039607805437114,20.4,8.333066662399863,7.3,4.290687590584986,3.9,1.0440306508910548,2.9,0.3,2.9,0.3,1.0,1.0954451150103321,12.9,1.3,12.8,1.16619037896906,0.0,0.0
add_agent:4,add_agent,6,-35572.31114789846,16419.153309588895,-13207.895526648135,10476.15181926138,24.7,4.920365840057018,4.8,2.6,41.8,10.721940122944169,14.3,8.63770802933278,7.1,2.7367864366808017,3.7,0.45825756949558405,3.7,0.45825756949558405,3.4,2.9393876913398134,21.8,2.638181191654584,21.8,2.638181191654584,0.0,0.0
add_agent:10,add_agent,7,-40539.30223709943,19359.022743775673,-14549.862280630652,15146.70122183166,31.4,6.696267617113284,5.7,2.9,61.8,16.191355718407276,23.4,12.92439553712281,9.6,3.4985711369071804,4.2,0.6,4.2,0.6,5.4,3.5270384177096794,30.9,4.2296571965113205,30.9,4.2296571965113205,0.0,0.0
add_agent:39,add_agent,8,-45747.36632216902,21111.92614463082,-17929.350727387617,17208.883408218804,40.0,6.752777206453653,6.1,2.6999999999999997,88.7,24.64163143949686,35.4,15.761979571107176,13.0,3.9749213828703582,4.7,0.45825756949558405,4.7,0.45825756949558405,8.3,4.382921400162225,43.7,4.6701177715342475,43.7,4.6701177715342475,0.0,0.0
add_agent:3,add_agent,9,-52755.94369656006,29069.689944643094,-20877.09193893302,18574.886725970497,50.2,9.64157663455516,7.1,3.3896902513356584,124.5,24.605893602956183,53.2,16.41828249239244,16.7,4.050925820105819,5.3,0.9,5.3,0.9,11.4,4.363484845854286,56.6,8.42852300228219,56.6,8.42852300228219,0.0,0.0
add_agent:6,add_agent,10,-59132.825677087545,28049.668123912135,-23411.269006840925,18867.501241390608,61.2,12.21310771261762,7.8,3.4,178.9,58.368570309713775,75.1,16.955530071336607,21.1,5.838664230798,6.1,0.8306623862918074,6.1,0.8306623862918074,15.0,6.016643582596529,73.4,9.046546302318914,73.3,9.17660067781093,0.0,0.0
add_agent:54,add_agent,11,-61732.56001320628,28746.764401213226,-18864.241233297536,13218.477811058368,74.4,11.943198901466893,8.4,3.7202150475476548,238.7,54.88906995021869,104.6,18.227451824103113,26.5,5.920304046246273,6.7,0.7810249675906654,6.7,0.7810249675906654,19.8,6.04648658313239,88.5,8.090117428072352,88.5,8.090117428072352,0.0,0.0
add_agent:42,add_agent,12,-61732.56001320628,28746.764401213226,-18583.78373329754,12990.36300191699,84.3,10.020479030465559,8.4,3.7202150475476548,295.7,55.92861521618428,131.2,19.85346317396539,31.1,5.223983154643591,6.9,0.8306623862918074,6.9,0.8306623862918074,24.2,5.546169849544819,103.7,10.93663568013491,103.6,10.864621484432856,0.0,0.0
add_agent:5,add_agent,13,-70282.50401445902,33310.04454621542,-20489.657904250096,13378.253066351213,104.8,11.034491379306978,9.7,4.290687590584987,416.0,72.74750854840322,195.8,35.6701555925959,39.9,5.629387178015028,7.7,0.9,7.7,0.9,32.2,5.979966555090421,129.3,17.23397806659855,129.2,17.145261736118233,0.0,0.0
