event,type,num_agents,node_cost,node_cost-std,edge_cost,edge_cost-std,message_count,message_count-std,num_changes,num_changes-std,announce_msg_count,announce_msg_count-std,announce_res_msg_count,announce_res_msg_count-std,add_me_count,add_me_count-std,child_added_count,child_added_count-std,parent_assigned_count,parent_assigned_count-std,already_active_count,already_active_count-std,ping_msg_count,ping_msg_count-std,ping_msg_resp_count,ping_msg_resp_count-std,constraint_changed_count,constraint_changed_count-std
add_agent:0,add_agent,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
add_agent:1,add_agent,2,-17433.912125365932,10472.412965997913,-6249.521932644828,8343.029386680233,3.84,0.7838367176906171,1.92,0.39191835884530857,2.0,0.938083151964686,0.96,0.19595917942265428,0.96,0.19595917942265428,0.96,0.19595917942265428,0.96,0.19595917942265428,0.0,0.0,0.04,0.19595917942265428,0.04,0.19595917942265428,0.0,0.0
add_agent:52,add_agent,3,-19192.00459643931,11044.469303846174,-7137.105874121324,8552.690534425315,6.34,2.0843224318708473,2.8,1.2489995996796799,4.42,2.3159447316376096,1.5,0.8774964387392122,1.34,0.5141984052872978,1.3,0.45825756949558394,1.3,0.45825756949558394,0.04,0.19595917942265434,2.1,1.0246950765959597,2.1,1.0246950765959597,0.0,0.0
add_agent:60,add_agent,4,-20858.574296644383,11710.284502737477,-7696.037862897101,9615.547025325524,10.68,2.723527124887872,3.36,2.0470466531078384,10.18,2.9979326209906723,3.14,1.6734395716607153,2.34,0.6200000000000001,2.12,0.4749736834815168,2.12,0.4749736834815168,0.22,0.54,6.12,1.84,6.12,1.84,0.0,0.0
add_agent:2,add_agent,5,-21428.896576867784,12225.930007175311,-7773.346120879524,10136.73453197453,14.56,3.0010664771044313,3.62,2.5051147678300083,17.98,4.718008054253405,6.16,3.41970758983864,3.54,1.0239140588936162,2.66,0.5868560300448485,2.66,0.5868560300448485,0.88,1.2592060990957754,12.68,1.7485994395515514,12.68,1.7485994395515514,0.0,0.0
add_agent:3,add_agent,6,-27889.7819139624,15815.757464120868,-9594.199949921203,9555.163418379558,23.16,5.319248067161373,4.48,2.586426105652353,39.52,13.476260608937478,13.56,8.215010651240814,6.7,2.4839484696748437,3.5,0.6708203932499369,3.5,0.6708203932499369,3.18,2.6509620895063746,21.12,3.338502658378454,21.12,3.338502658378454,0.0,0.0
add_agent:7,add_agent,7,-32430.054916572535,18648.65046366146,-10607.859225027196,10816.80645780733,30.72,6.302507437520403,5.12,2.6354506256046606,61.18,16.963124712151355,23.06,11.707108951402136,9.6,3.2310988842807027,3.98,0.761314652426971,3.98,0.761314652426971,5.6,3.4058772731852804,30.86,5.306637353352876,30.84,5.307956292208895,0.0,0.0
add_agent:6,add_agent,8,-36969.532724982506,18963.446115924926,-12602.00276935853,11371.307228364742,39.04,8.282415106718572,5.76,3.017018395701293,90.46,24.750119191632187,36.72,17.502045594729776,12.94,4.192421734510973,4.46,0.9425497334358541,4.46,0.9425497334358541,8.46,4.548450285536822,41.76,6.084603520361865,41.74,6.09855720642186,0.0,0.0
add_agent:39,add_agent,9,-39540.19039355221,17969.170565355915,-12142.657314588554,11595.077272074112,51.12,8.959107098366445,6.56,2.9540480700218814,138.08,37.60151060795297,59.92,20.383169527823682,17.88,4.962418765078176,5.2,0.9797958971132711,5.2,0.9797958971132711,12.66,5.537544582213311,54.84,8.677234582515329,54.82,8.691812239113315,0.0,0.0
add_agent:49,add_agent,10,-45751.022199821,22183.48544070589,-13004.621863859249,13392.197413504586,64.22,12.374635348162787,7.7,3.5114099732158874,192.96,52.40380138883057,85.98,30.40755827092994,22.92,6.501815131176833,5.94,1.0081666528902846,5.96,1.0384603988597738,16.94,7.041051057903218,71.44,11.517221887243469,71.42,11.530984346533476,0.0,0.0
add_agent:5,add_agent,11,-48152.62958470746,22340.240152031354,-14342.180397417895,13443.1812768831,76.06,14.27362602844841,8.48,4.432786933747211,249.76,66.01441054800082,111.84,36.72185180515819,27.46,7.483876001110654,6.62,0.9568698971124548,6.62,0.9568698971124548,20.82,8.059007383046623,86.4,12.124355652982139,86.36,12.107452250576916,0.0,0.0
add_agent:20,add_agent,12,-49776.387782510166,25644.801127280887,-14647.44522788209,14637.641208981438,87.62,15.852936636472123,9.0,5.0079936102195655,307.32,66.7342310961923,140.12,40.80668572672865,32.18,7.837576155929843,7.16,1.1377170122662308,7.16,1.1377170122662308,25.0,8.419026071939674,103.24,15.16648937625316,103.22,15.175361610189062,0.0,0.0
add_agent:55,add_agent,13,-52030.71518629687,26410.404967115166,-15674.339593075525,15782.879923428314,101.74,17.352590584693687,9.52,5.507231609438629,386.42,80.18879971666865,181.14,49.25931790027143,38.2,8.56737999624156,7.74,1.338805437694365,7.74,1.338805437694365,30.44,9.226396913205068,125.0,19.188538245525635,124.98,19.201552020605,0.0,0.0
add_agent:4,add_agent,14,-55811.265328977126,28959.99338289566,-17946.947325431483,17172.070699254717,117.96,20.47921873509827,10.14,6.1221238144944445,481.4,102.8017509578509,230.9,59.789380327947875,45.0,10.192153844992726,8.56,1.3290598180668918,8.56,1.3290598180668918,36.42,10.945483086643549,146.72,20.668855798035846,146.7,20.687435800504616,0.0,0.0
add_agent:22,add_agent,15,-57463.63843139893,28404.303402855545,-17939.529763369483,16695.780504776267,132.98,21.6605540095354,10.32,6.139837131390375,572.86,119.10902736568713,279.64,63.47023239283121,51.18,11.086370010061906,9.26,1.3536617007214176,9.26,1.3536617007214176,41.9,11.88486432400471,169.7,21.190799890518527,169.68,21.212675455962646,0.0,0.0
add_agent:8,add_agent,16,-61044.471738327265,29499.384097778307,-18395.965014408135,17205.988060039963,151.44,23.975120437653693,11.02,6.23053769750252,692.78,134.8970407384832,348.68,83.09932370362588,58.94,12.493854489307934,10.0,1.4966629547095767,10.0,1.4966629547095767,48.92,13.380343792294726,198.86,25.2618368294944,198.82,25.30430002983682,0.0,0.0
add_agent:13,add_agent,17,-66255.06831977914,31052.82666507306,-19542.777744629533,18550.822627656133,169.1,26.264995716732948,11.86,6.311925221356795,813.72,159.1443420294922,420.4,89.84030275995289,66.2,13.815932831336434,10.86,1.6125755796240986,10.86,1.6125755796240986,55.32,14.808700145522565,227.28,28.33587125888315,227.26,28.361812353938177,0.0,0.0
add_agent:72,add_agent,18,-70972.09010379856,32970.38115095193,-21257.93290498518,20019.42853222964,189.34,28.97144111016917,12.6,6.270566162636353,958.88,197.15817406336467,511.92,119.67870988609462,74.46,15.59129244161625,11.78,1.3607350954539243,11.78,1.3607350954539243,62.66,16.4494498388244,260.2,30.735647056797095,260.16,30.77749827390134,0.0,0.0
add_agent:17,add_agent,19,-75286.75860451246,33767.39458851656,-22611.47545066163,18880.169321408302,205.36,30.793349931438126,13.04,6.517545550281946,1095.3,216.22305612491928,595.24,133.6752123619035,81.6,16.491209779758425,12.18,1.227843638253666,12.18,1.227843638253666,69.4,17.307801709055948,290.66,33.862433462466925,290.64,33.88318757141954,0.0,0.0
add_agent:9,add_agent,20,-79101.85455092648,33384.755149691184,-24839.889787605378,21225.134304399446,225.08,31.719293813072195,13.64,6.725355009216986,1256.58,222.7570057259704,694.06,141.161950964132,89.9,16.830032679706832,12.92,1.3833293172632468,12.92,1.3833293172632468,76.96,17.660079275020255,326.64,38.008820029040635,326.62,38.036766424079744,0.0,0.0
add_agent:10,add_agent,21,-82222.39348236842,32979.49445776428,-23686.019440964054,18874.785196533267,244.42,34.09990615822865,14.52,7.782647364489798,1416.94,243.316617599374,793.96,155.20308759815313,97.9,17.83844163597258,13.6,1.4966629547095764,13.6,1.4966629547095764,84.28,18.648367220751524,360.66,39.7525395415186,360.64,39.7717286523983,0.0,0.0
add_agent:11,add_agent,22,-88402.954638655,41980.90287877502,-25595.143561762747,22903.123562400546,265.08,35.39312927673958,15.18,7.829916985511404,1605.42,253.04190087809567,909.24,165.39124039682392,106.64,18.393216140740584,14.24,1.643897807042761,14.24,1.643897807042761,92.38,19.071329266729155,400.94,42.3430797179421,400.92,42.372085150485574,0.0,0.0
add_agent:12,add_agent,23,-96169.89048682008,44297.420553982745,-28144.58327519834,22711.729462712192,288.0,36.3318042491699,16.18,8.16257312371534,1817.82,288.02115825057024,1043.28,190.9211397409936,116.22,19.44869147269296,15.08,1.7417232845661799,15.08,1.7417232845661799,101.12,20.36923169881476,444.06,45.36889242641922,444.02,45.405942342385096,0.0,0.0
add_agent:63,add_agent,24,-103067.66051303221,45809.9282225777,-31149.740971162766,22562.59265851105,311.38,40.06738823532176,17.34,8.661662657942758,2041.32,321.5397605273724,1183.0,227.2562430385577,125.8,20.847062143141418,15.9,1.6155494421403513,15.9,1.6155494421403513,109.88,21.5542478412029,486.7,46.219584593546486,486.68,46.25167672636312,0.0,0.0
