event,type,num_agents,node_cost,node_cost-std,edge_cost,edge_cost-std,message_count,message_count-std,num_changes,num_changes-std,announce_msg_count,announce_msg_count-std,announce_res_msg_count,announce_res_msg_count-std,add_me_count,add_me_count-std,child_added_count,child_added_count-std,parent_assigned_count,parent_assigned_count-std,already_active_count,already_active_count-std,ping_msg_count,ping_msg_count-std,ping_msg_resp_count,ping_msg_resp_count-std,constraint_changed_count,constraint_changed_count-std
add_agent:0,add_agent,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
add_agent:1,add_agent,2,-16420.77523975542,9903.393695780896,-6881.93079779115,6633.673454908589,7.55,1.0712142642814277,1.85,0.3570714214271425,2.1,0.888819441731559,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3,0.4582575694955839,0.3,0.4582575694955839,0.0,0.0
add_agent:52,add_agent,3,-24044.65995513816,11243.825069948969,-12200.139173620508,7047.274492667041,19.4,4.017461885320134,4.55,0.9733961166965894,5.85,1.1947803145348523,2.2,0.6,1.9,0.3,1.9,0.3,1.9,0.3,0.0,0.0,3.4,1.2,3.4,1.2,0.0,0.0
add_agent:60,add_agent,4,-31662.025785506023,10801.6477218532,-16284.956045658168,9081.2991376672,35.2,7.180529228406496,8.0,1.7320508075688772,12.75,3.5619517121937516,4.8,2.4,3.1,0.7000000000000001,2.75,0.4330127018922193,2.75,0.4330127018922193,0.35,0.7921489758877429,7.85,1.5898113095584645,7.85,1.5898113095584645,0.0,0.0
add_agent:2,add_agent,5,-36959.38318769015,15973.738109873604,-18676.61377389424,9617.313509292966,41.55,7.297088460475178,9.05,1.9868316486305526,19.95,6.771078200700387,7.4,4.282522621072771,4.05,1.3955285736952863,3.15,0.5722761571129799,3.15,0.5722761571129799,0.9,1.6093476939431082,14.05,2.376446927663229,14.05,2.376446927663229,0.0,0.0
add_agent:3,add_agent,6,-47482.316805687355,19684.545604258474,-23861.89788991354,11846.684900298313,51.85,6.86494719571826,10.65,2.080264406271472,38.25,11.579615710376576,12.85,7.728356875817782,6.4,2.3958297101421877,3.75,0.698212002188447,3.75,0.698212002188447,2.65,2.8155816450602176,23.5,4.272001872658765,23.5,4.272001872658765,0.0,0.0
add_agent:7,add_agent,7,-56845.76668776533,20876.367399525316,-28044.19630350087,14019.075499484947,61.85,8.014206136605173,11.8,1.9390719429665315,61.8,19.701776569639602,22.05,11.753616464731184,9.4,3.733630940518894,4.25,0.698212002188447,4.25,0.698212002188447,5.1,3.98622628559895,33.0,5.458937625582473,33.0,5.458937625582473,0.0,0.0
add_agent:6,add_agent,8,-62702.98639617352,21466.980562504537,-29608.706844265304,13309.049568088785,75.65,10.090961302076229,13.35,2.26439837484485,99.8,27.089850497926342,38.9,18.41168107479597,13.35,4.767336782733102,4.85,0.8529361054615991,4.85,0.8529361054615991,8.5,5.014977567247933,46.8,7.173562573784381,46.8,7.173562573784381,0.0,0.0
add_agent:39,add_agent,9,-73335.00409742499,22534.755785717498,-35603.301717852475,13427.67698388042,94.9,18.038569788095728,15.75,3.2996211903792836,142.5,39.55818499375319,59.6,21.4625254804741,17.8,5.88727441181401,5.6,1.2409673645990855,5.6,1.2409673645990855,12.2,6.087692502089769,59.3,9.706183596038146,59.3,9.706183596038146,0.0,0.0
add_agent:49,add_agent,10,-86492.0090375055,29207.47968019577,-42579.293869459085,16521.47192375791,114.95,18.842704158373873,18.4,3.3823069050575523,189.9,50.45681321684912,82.25,34.25620381770286,22.6,7.009992867328754,6.4,1.2,6.4,1.2,16.2,7.30479294709987,74.15,11.20836741010929,74.15,11.20836741010929,0.0,0.0
add_agent:5,add_agent,11,-97099.6788966656,28331.858198441638,-47680.61158845409,16976.302807233402,136.45,22.464360663059164,21.1,4.493328387732194,252.45,73.4074076643495,114.85,52.59113518455368,27.75,8.56665045394056,7.1,1.0908712114635715,7.1,1.0908712114635715,20.65,9.150273219964527,91.25,11.321991874224253,91.25,11.321991874224253,0.0,0.0
add_agent:20,add_agent,12,-109978.3047627748,28852.37509730891,-54917.23501453306,18415.10173356437,163.55,26.693585371770503,24.35,4.7251984085327035,333.25,87.36925946807607,155.45,65.85018982508707,34.5,10.224969437607136,8.05,1.16081867662439,8.05,1.16081867662439,26.45,10.56633806008496,115.9,16.42528538564855,115.9,16.42528538564855,0.0,0.0
add_agent:55,add_agent,13,-123171.03310994233,31054.009420939925,-60803.90926504583,18576.18169692667,182.0,29.14275210065103,26.85,6.1504064906313305,389.8,102.49029222321498,190.3,78.4117975817415,38.65,10.955706275726817,8.65,1.0136567466356645,8.65,1.0136567466356645,30.0,11.349008767288886,133.25,14.889173919328098,133.25,14.889173919328098,0.0,0.0
add_agent:4,add_agent,14,-135408.9176103346,32571.815486575677,-67440.40813554727,22540.120994625595,202.55,30.558918501805657,28.8,5.861740355901138,482.85,120.23405299664483,239.9,94.75067282083013,45.0,12.198360545581526,9.45,1.023474474522936,9.45,1.023474474522936,35.55,12.391428489080669,159.5,16.97203582367183,159.5,16.97203582367183,0.0,0.0
add_agent:22,add_agent,15,-145216.97998638244,33995.05760542061,-73866.7116870475,22693.504846642772,224.4,29.883774861954773,30.85,6.951798328490262,583.3,115.90388259243089,292.5,88.45874744760972,51.45,11.30696687887605,10.15,1.1079259903080172,10.15,1.1079259903080172,41.3,11.688028062936878,186.95,22.582017181819698,186.95,22.582017181819698,0.0,0.0
add_agent:8,add_agent,16,-152677.57487756113,34657.41638950727,-75754.18195336442,21330.51590421113,248.75,26.639960585556427,33.5,6.576473218982953,680.85,106.3786985255977,346.25,93.10095327116689,57.75,10.967565819269105,10.85,1.3518505834595778,10.85,1.3518505834595778,46.9,11.423221962301179,213.4,26.33324894501246,213.35,26.243618271877068,0.0,0.0
add_agent:13,add_agent,17,-168669.92721784598,38031.53280312502,-82247.63202800274,23340.194436558155,276.15,31.15810488460426,36.3,6.738694235532578,822.05,146.89944690161363,433.25,117.44567893285814,66.0,13.107249902248755,11.7,1.5198684153570663,11.7,1.5198684153570663,54.3,13.660527076214885,244.85,24.30694345243762,244.75,24.252577182641847,0.0,0.0
add_agent:72,add_agent,18,-180393.15541676094,39888.65592948256,-88951.01504819612,24105.507159605902,297.6,38.753580479744066,38.55,7.61232553166245,922.75,139.77942445152647,493.95,113.84264359193352,71.15,12.752548764854811,12.35,1.9045996954740911,12.35,1.9045996954740911,58.8,13.381330277666716,273.85,30.93586106769941,273.85,30.93586106769941,0.0,0.0
